cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use,control_pc1,control_pc2,response_pc1,response_pc2
NCIH2347_LUNG,ACH-000875,NCIH2347_LUNG,lung,lung_NSC,0.3764784253139003,0.6235215746860997,0.470583827411964,0.329904,False,True,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,18.332695,19.97985,-15.176079,8.530068
NCIH23_LUNG,ACH-000900,NCIH23_LUNG,lung,lung_NSC,0.7099773877371387,0.2900226122628613,0.754767150660788,0.585064,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-2.7352047,-18.04697,6.092747,-1.5956063
NCIH2444_LUNG,ACH-000186,NCIH2444_LUNG,lung,lung_NSC,0.6276523780986296,0.3723476219013704,0.537558211857119,0.898953,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,7.3386793,24.273703,-9.334395,8.65445
NCIH322_LUNG,ACH-000837,NCIH322_LUNG,lung,lung_NSC,0.7356277818633916,0.2643722181366084,0.713495827257078,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,29.999157,13.821563,1.7302122,-0.93011916
NCIH522_LUNG,ACH-000343,NCIH522_LUNG,lung,lung_NSC,0.9046895803279872,0.0953104196720129,0.971276755552299,0.883819,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-3.344737,-45.403076,10.605933,-3.4156764
NCIH838_LUNG,ACH-000416,NCIH838_LUNG,lung,lung_NSC,0.8531335791636729,0.146866420836327,0.84948442866531,0.85392,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-13.198515,1.0262865,7.0325828,-1.1213603
NCIH841_LUNG,ACH-000292,NCIH841_LUNG,lung,lung_small,0.8519970415267398,0.1480029584732601,,0.906615,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-8.774035,-39.468136,7.431139,-2.7950804
NUGC3_STOMACH,ACH-000911,NUGC3_STOMACH,gastric,gastric_adenocarcinoma,0.48072122549562,0.51927877450438,0.520302130713853,0.517793,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,19.45952,19.520239,0.034627084,5.219035
OAW42_OVARY,ACH-000704,OAW42_OVARY,ovary,,0.7813115152554448,0.2186884847445551,0.840719979379126,0.663894,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3.6294143,-14.658393,3.930248,-1.564589
OSRC2_KIDNEY,ACH-000159,OSRC2_KIDNEY,kidney,,0.8043399903893197,0.1956600096106803,0.762761299031886,0.839988,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-24.997221,22.176847,4.8389206,-1.4904315
PANC0403_PANCREAS,ACH-000235,PANC0403_PANCREAS,pancreas,,0.4788002726500569,0.5211997273499431,0.578006308851989,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,36.86843,26.823858,-12.491806,8.763433
PATU8988S_PANCREAS,ACH-000022,PATU8988S_PANCREAS,pancreas,,0.5326264458747405,0.4673735541252595,0.606816550279699,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,40.827923,7.8020864,2.4164505,5.584725
