cell_line,depmap_id,lineage,trametinib_sensitivity,braf_mut,kras_mut,b4_rmse,cclr_rmse,b4_pcc_context,response_rms,baseline_novelty,min_condition_cells,high_error,high_response_magnitude,high_baseline_novelty,low_cell_support,error_type
NCIH838_LUNG,ACH-000416,lung,0.146866420836327,False,False,0.2141965555560196,0.2105449452035016,0.0757904570370918,0.23373623,2.2244942979062152,117,False,False,False,False,not_high_error
NCIH841_LUNG,ACH-000292,lung,0.1480029584732601,False,False,0.2364489177306364,0.2374105671108569,0.2035615489489375,0.2645689,2.8238207102994717,101,False,False,False,False,not_high_error
NUGC3_STOMACH,ACH-000911,gastric,0.51927877450438,False,False,0.3122267217122417,0.3126118890740864,0.1067351285833585,0.35779786,2.6445564229408105,58,False,False,False,False,not_high_error
OAW42_OVARY,ACH-000704,ovary,0.2186884847445551,False,False,0.1765391867984831,0.1775762751290315,0.1520731699706401,0.21817166,2.539052846764666,148,False,False,False,False,not_high_error
OSRC2_KIDNEY,ACH-000159,kidney,0.1956600096106803,False,False,0.3071932563902113,0.3072823829984044,0.0721750861741997,0.33572626,1.5752164723490596,35,False,False,False,True,not_high_error
PANC0403_PANCREAS,ACH-000235,pancreas,0.5211997273499431,False,True,0.37567968128542,0.3746461124280321,0.2009957980637364,0.43498972,2.5097984485459293,37,True,True,False,True,high_magnitude_target
PATU8988S_PANCREAS,ACH-000022,pancreas,0.4673735541252595,False,True,0.3313489738987252,0.3322455928271379,0.1545847312582351,0.37141412,2.353998268139541,57,False,False,False,False,not_high_error
PC3_PROSTATE,ACH-000090,prostate,0.0960914220794952,False,False,0.2716982604189979,0.2713803136734897,-0.0623885652166841,0.25813052,2.4530208140639673,67,False,False,False,False,not_high_error
QGP1_PANCREAS,ACH-000347,pancreas,0.4290129254696142,False,True,0.4961372051070837,0.4947482420270278,0.020763177220981,0.52956367,3.353377734757344,26,True,True,True,True,high_magnitude_target
RCC10RGB_KIDNEY,ACH-000189,kidney,0.3087458677794348,False,False,0.280460508656008,0.2834337566664353,0.1446290209427117,0.32115364,1.5779985803075782,53,False,False,False,False,not_high_error
RH30_SOFT_TISSUE,ACH-000833,rhabdomyosarcoma,0.3898178443875109,False,False,0.2569149419319056,0.2564275257640085,0.0837607259576581,0.2644235,2.6014693666081508,60,False,False,False,False,not_high_error
SKMEL24_SKIN,ACH-000822,skin,0.6396771214748724,True,False,0.3847061338625806,0.3851105932881572,0.2285096880546226,0.44627237,2.4674065900642836,64,True,True,False,False,high_magnitude_target
SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,0.1924623728696315,False,False,0.2754217095046448,0.277178880440213,0.1484476713000484,0.30318758,2.6835154344046432,68,False,False,False,False,not_high_error
SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,central_nervous_system,0.2203602279921694,False,False,0.3441076642421314,0.3421240435779745,0.0345479342138233,0.35930222,1.9817625490014945,60,False,False,False,False,not_high_error
SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,upper_aerodigestive,0.1228605366378544,False,False,0.3575739744821619,0.3581874730633254,0.1164914588573064,0.40941718,2.3578890503775254,52,False,True,False,False,not_high_error
SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,central_nervous_system,0.2832821131217878,False,False,0.3365746904246899,0.336514354539369,0.1260270948030131,0.36958158,1.9186209136068058,37,False,False,False,True,not_high_error
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,0.5702910018565361,False,False,0.5715313341015437,0.5724743722709886,0.1098966202300877,0.61708075,1.9946487155676176,21,True,True,False,True,high_magnitude_target
SNU245_BILIARY_TRACT,ACH-000268,bile_duct,0.4791452913526247,False,False,0.3518533732425059,0.3527835995720151,0.1145591244466258,0.38996658,1.9621353924997416,38,False,False,False,False,not_high_error
SNU685_ENDOMETRIUM,ACH-000407,uterus,0.2840330309567437,False,False,0.2921890540661078,0.2923228501922681,0.1242264866524271,0.30748248,2.7414877094722665,42,False,False,False,False,not_high_error
SW480_LARGE_INTESTINE,ACH-000842,colorectal,0.5628689601123513,False,True,0.4399655368005388,0.4399482517446909,0.0431031760252197,0.4679775,3.0422921759531336,23,True,True,True,True,high_magnitude_target
SW48_LARGE_INTESTINE,ACH-000958,colorectal,0.350017960769786,False,False,0.4279884653427465,0.4282740602984247,0.0549656158826768,0.44944462,2.2041505832549655,25,True,True,False,True,high_magnitude_target
SW579_THYROID,ACH-000163,thyroid,0.43842890918683,False,False,0.3928988589583678,0.3934214637519495,0.101934198345531,0.42609674,2.3417037603343593,36,True,True,False,True,high_magnitude_target
SW900_LUNG,ACH-000669,lung,0.3379678229713522,False,True,0.381134720352271,0.3810141332917217,0.0590325604186954,0.43920118,2.8761864060686624,37,True,True,False,True,high_magnitude_target
TE11_OESOPHAGUS,ACH-000488,esophagus,0.1515474401085206,False,False,0.2939483794897281,0.2949661815917082,0.0672161621588599,0.30824754,1.8675206749252995,84,False,False,False,False,not_high_error
TE6_OESOPHAGUS,ACH-000605,esophagus,0.1365532835031231,False,False,0.3492057953410593,0.3480928681801988,0.0541978113605745,0.3736052,2.4574486544147796,35,False,False,False,True,not_high_error
TEN_ENDOMETRIUM,ACH-000397,uterus,-0.1485003430412701,False,False,0.3030199241699239,0.3031699781108278,0.0903028622078979,0.32385758,3.3930250805088695,35,False,False,True,True,not_high_error
TUHR4TKB_KIDNEY,ACH-000495,kidney,0.1166257317735379,False,False,0.3260798575495781,0.3269076997780604,0.1209728703290595,0.35107237,1.4523697383632084,35,False,False,False,True,not_high_error
UACC257_SKIN,ACH-000579,skin,0.6807655037643061,True,False,0.3737192638156761,0.3748210022901477,0.2294646757399545,0.4434621,1.8561621014862553,67,True,True,False,False,high_magnitude_target
