cell_line,depmap_id,lineage,outer_fold,model,b2_fallback,b3_neighbor_cell_line,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1,rmse_gain_vs_b4,nrmse_gain_vs_b4,rmse_gain_vs_cclr,outer_test_response_used_for_fit,report_order
SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,upper_aerodigestive,2,B1_MEAN_W5,False,,0.3598252095305904,0.8788718038566249,0.4803755760700408,0.3790173358174045,0.15,,0.0,0.0,-0.0022512350484285015,,-0.0016377364672650052,False,0
SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,central_nervous_system,2,B1_MEAN_W5,False,,0.3391993055357907,0.9177927695343804,0.3902879804600339,0.3216407693756491,0.12,,0.0,0.0,-0.002624615111100792,,-0.0026849509964216867,False,0
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,1,B1_MEAN_W5,False,,0.5748991592755835,0.9316432895701644,0.3641045759969816,0.3090652078465891,0.06,,0.0,0.0,-0.0033678251740398846,,-0.0024247870045949194,False,0
SNU245_BILIARY_TRACT,ACH-000268,bile_duct,4,B1_MEAN_W5,False,,0.3541014708735376,0.9080302427813304,0.4001814029268966,0.3280546908090406,0.11,,0.0,0.0,-0.0022480976310317313,,-0.0013178713015224996,False,0
SNU685_ENDOMETRIUM,ACH-000407,uterus,0,B1_MEAN_W5,False,,0.2943606328404791,0.957324883958469,0.3247202990489484,0.2279368076146192,0.14,,0.0,0.0,-0.0021715787743712966,,-0.002037782648210973,False,0
SW480_LARGE_INTESTINE,ACH-000842,colorectal,3,B1_MEAN_W5,False,,0.4401068952687002,0.940444559863555,0.3561885514876006,0.2565472605182956,0.18,,0.0,0.0,-0.00014135846816143438,,-0.00015864352400934978,False,0
SW48_LARGE_INTESTINE,ACH-000958,colorectal,2,B1_MEAN_W5,False,,0.4277817407000384,0.9518007552676548,0.2852717041356722,0.2481338825910701,0.08,,0.0,0.0,0.00020672464270810043,,0.0004923195983863038,False,0
SW579_THYROID,ACH-000163,thyroid,2,B1_MEAN_W5,False,,0.3950079235908484,0.9270381428854793,0.3750115548674653,0.2961615932872534,0.12,,0.0,0.0,-0.0021090646324806173,,-0.0015864598388989348,False,0
SW900_LUNG,ACH-000669,lung,3,B1_MEAN_W5,False,,0.3818088514585502,0.8693256387412085,0.5055193697764893,0.3925172540201181,0.1699999999999999,,0.0,0.0,-0.0006741311062792299,,-0.000794718166828523,False,0
TE11_OESOPHAGUS,ACH-000488,esophagus,4,B1_MEAN_W5,False,,0.2888282213503972,0.9370009804280308,0.3792460440041836,0.2913347847775854,0.15,,0.0,0.0,0.005120158139330866,,0.006137960241310969,False,0
