outer_fold,model,inner_fold,dimension,alpha,mean_rmse
3,B4,0,5,10.0,0.31925353095466147
3,B4,0,5,100.0,0.31510864520966514
3,B3,0,10,,0.42081197000431864
3,B4,0,10,0.01,0.3258959409216267
3,B4,0,10,0.1,0.3258483212071533
3,B4,0,10,1.0,0.32538548736729994
3,B4,0,10,10.0,0.32183237807246284
3,B4,0,10,100.0,0.3150765289576923
3,B3,0,20,,0.4196068526049133
3,B4,0,20,0.01,0.3307963228100743
3,B4,0,20,0.1,0.3307327972316867
3,B4,0,20,1.0,0.33011479833318674
3,B4,0,20,10.0,0.32532881870220476
3,B4,0,20,100.0,0.31556891623344924
3,B3,0,30,,0.4294708765278332
3,B4,0,30,0.01,0.33344216732299686
3,B4,0,30,0.1,0.3333687053742028
3,B4,0,30,1.0,0.33265386761695587
3,B4,0,30,10.0,0.3271056687881371
3,B4,0,30,100.0,0.3156253668673911
3,B3,1,5,,0.44929820063539294
3,B4,1,5,0.01,0.34719051736247797
3,B4,1,5,0.1,0.3471713397839215
3,B4,1,5,1.0,0.3469856680071204
3,B4,1,5,10.0,0.34561212537769603
3,B4,1,5,100.0,0.3437738340571928
3,B3,1,10,,0.445664251004488
3,B4,1,10,0.01,0.3514754259495569
3,B4,1,10,0.1,0.3514393805490606
3,B4,1,10,1.0,0.35108954941713655
3,B4,1,10,10.0,0.3484389873490007
3,B4,1,10,100.0,0.34383124340242566
3,B3,1,20,,0.447170327962901
3,B4,1,20,0.01,0.35444888531142776
3,B4,1,20,0.1,0.354400190631588
3,B4,1,20,1.0,0.3539272542540111
3,B4,1,20,10.0,0.3503198651228985
3,B4,1,20,100.0,0.34370418144690473
3,B3,1,30,,0.4582705039076913
3,B4,1,30,0.01,0.35674324632740806
3,B4,1,30,0.1,0.35668647362907224
3,B4,1,30,1.0,0.35613479839598505
3,B4,1,30,10.0,0.3519064990234724
3,B4,1,30,100.0,0.34384794933537355
3,B3,2,5,,0.4553079593759302
3,B4,2,5,0.01,0.33194614352957086
3,B4,2,5,0.1,0.3319252959122237
3,B4,2,5,1.0,0.33172300468968396
3,B4,2,5,10.0,0.33019303513003556
3,B4,2,5,100.0,0.3275642005652812
3,B3,2,10,,0.4411944880622253
3,B4,2,10,0.01,0.33583791123365303
3,B4,2,10,0.1,0.33580176142232476
3,B4,2,10,1.0,0.3354504854926247
3,B4,2,10,10.0,0.33275769076740486
3,B4,2,10,100.0,0.32759028775325766
3,B3,2,20,,0.44536474164312484
3,B4,2,20,0.01,0.3409142368862124
3,B4,2,20,0.1,0.3408600618316906
3,B4,2,20,1.0,0.3403330695139893
3,B4,2,20,10.0,0.33625342344239045
3,B4,2,20,100.0,0.32786498778524037
3,B3,2,30,,0.4396221943163655
3,B4,2,30,0.01,0.34290068699793874
3,B4,2,30,0.1,0.3428386648753339
3,B4,2,30,1.0,0.3422351975764742
3,B4,2,30,10.0,0.33755398820415344
3,B4,2,30,100.0,0.32783387604905156
3,B3,3,5,,0.418644232794979
3,B4,3,5,0.01,0.32179619861241493
3,B4,3,5,0.1,0.3217582539099533
3,B4,3,5,1.0,0.32138962669270743
3,B4,3,5,10.0,0.3185702227986299
3,B4,3,5,100.0,0.31324737791705964
3,B3,3,10,,0.428150631664172
3,B4,3,10,0.01,0.32664151129189645
3,B4,3,10,0.1,0.3265849983097441
3,B4,3,10,1.0,0.32603545091765457
3,B4,3,10,10.0,0.3217950995779745
3,B4,3,10,100.0,0.31330165436058716
3,B3,3,20,,0.41158551214936173
3,B4,3,20,0.01,0.331256884145608
3,B4,3,20,0.1,0.3311832288850112
3,B4,3,20,1.0,0.3304665808975605
3,B4,3,20,10.0,0.32490867661515965
3,B4,3,20,100.0,0.31341711896571595
3,B3,3,30,,0.41500064382308155
3,B4,3,30,0.01,0.3337292065953044
3,B4,3,30,0.1,0.3336477095260007
3,B4,3,30,1.0,0.3328545150800341
3,B4,3,30,10.0,0.32668524856134074
3,B4,3,30,100.0,0.3136763583714091
4,B3,0,5,,0.41514994432681324
4,B4,0,5,0.01,0.31978709224556323
4,B4,0,5,0.1,0.31976076850291796
4,B4,0,5,1.0,0.3195055811598763
4,B4,0,5,10.0,0.3175923309633431
4,B4,0,5,100.0,0.3145195731508469
4,B3,0,10,,0.4118502006846259
4,B4,0,10,0.01,0.322906108523021
4,B4,0,10,0.1,0.322866301644109
4,B4,0,10,1.0,0.3224799794987361
4,B4,0,10,10.0,0.31955300451850344
4,B4,0,10,100.0,0.31439127804824835
4,B3,0,20,,0.4255037891356035
4,B4,0,20,0.01,0.32541676751374715
4,B4,0,20,0.1,0.325365876862001
4,B4,0,20,1.0,0.3248717509493411
4,B4,0,20,10.0,0.3211114071229873
4,B4,0,20,100.0,0.314249484177273
4,B3,0,30,,0.43119196000764953
4,B4,0,30,0.01,0.3276313286375124
4,B4,0,30,0.1,0.3275726486780883
4,B4,0,30,1.0,0.3270026179314148
4,B4,0,30,10.0,0.322645017745526
4,B4,0,30,100.0,0.3144025271993486
4,B3,1,5,,0.4453392926164228
4,B4,1,5,0.01,0.3289607428914622
4,B4,1,5,0.1,0.3289338459269306
4,B4,1,5,1.0,0.32867292570470036
4,B4,1,5,10.0,0.3267042426922257
4,B4,1,5,100.0,0.32336102363999863
4,B3,1,10,,0.41992569897475657
4,B4,1,10,0.01,0.33164175599574525
4,B4,1,10,0.1,0.33160178148178787
4,B4,1,10,1.0,0.33121376011969295
4,B4,1,10,10.0,0.3282692449312678
4,B4,1,10,100.0,0.3230336852468823
4,B3,1,20,,0.4200744791773091
4,B4,1,20,0.01,0.33568639538464656
4,B4,1,20,0.1,0.33563154503149556
4,B4,1,20,1.0,0.33509856189228265
4,B4,1,20,10.0,0.33101388099846707
4,B4,1,20,100.0,0.32319102163804125
4,B3,1,30,,0.4164832123989875
4,B4,1,30,0.01,0.3382050393444307
4,B4,1,30,0.1,0.33814156886305846
4,B4,1,30,1.0,0.3375245160098148
4,B4,1,30,10.0,0.3327736620794748
4,B4,1,30,100.0,0.3233715183336805
4,B3,2,5,,0.4230055129955414
4,B4,2,5,0.01,0.3166237432836234
4,B4,2,5,0.1,0.31659043078221033
