cell_line,depmap_id,disease,condition,time_hours,n_cells,library_size,source_tag,eligible_t10,eligible_t20,eligible_t30
NCIH2347_LUNG,ACH-000875,lung cancer,control,3,18,794083,DMSO_3hr,False,False,False
NCIH2347_LUNG,ACH-000875,lung cancer,control,6,15,610596,DMSO_6hr,False,False,False
NCIH2347_LUNG,ACH-000875,lung cancer,control,12,11,481240,DMSO_12hr,False,False,False
NCIH2347_LUNG,ACH-000875,lung cancer,control,24,18,657012,DMSO_24hr,False,False,False
NCIH2347_LUNG,ACH-000875,lung cancer,control,48,22,881274,DMSO_48hr,False,False,False
NCIH2347_LUNG,ACH-000875,lung cancer,trametinib,3,17,730907,Tram_3hr,False,False,False
NCIH2347_LUNG,ACH-000875,lung cancer,trametinib,6,10,406384,Tram_6hr,False,False,False
NCIH2347_LUNG,ACH-000875,lung cancer,trametinib,12,8,262341,Tram_12hr,False,False,False
NCIH2347_LUNG,ACH-000875,lung cancer,trametinib,24,16,425005,Tram_24hr,False,False,False
NCIH2347_LUNG,ACH-000875,lung cancer,trametinib,48,17,404008,Tram_48hr,False,False,False
NCIH2347_LUNG,ACH-000875,lung cancer,untreated,48,11,286534,Untreated_48hr,False,False,False
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,control,3,82,2869558,DMSO_3hr,True,True,True
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,control,6,76,2391043,DMSO_6hr,True,True,True
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,control,12,64,1880709,DMSO_12hr,True,True,True
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,control,24,92,2701460,DMSO_24hr,True,True,True
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,control,48,167,5130731,DMSO_48hr,True,True,True
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,trametinib,3,56,1835057,Tram_3hr,True,True,True
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,trametinib,6,79,2415184,Tram_6hr,True,True,True
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,trametinib,12,59,1905158,Tram_12hr,True,True,True
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,trametinib,24,110,2729138,Tram_24hr,True,True,True
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,trametinib,48,109,3004640,Tram_48hr,True,True,True
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,untreated,48,105,3501425,Untreated_48hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,control,3,67,2780301,DMSO_3hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,control,6,56,2197452,DMSO_6hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,control,12,57,2749953,DMSO_12hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,control,24,70,2762119,DMSO_24hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,control,48,136,5915860,DMSO_48hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,trametinib,3,66,2652729,Tram_3hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,trametinib,6,68,2496459,Tram_6hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,trametinib,12,61,1983139,Tram_12hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,trametinib,24,60,1749647,Tram_24hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,trametinib,48,36,888170,Tram_48hr,True,True,True
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,untreated,48,96,3846232,Untreated_48hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,control,3,57,1119580,DMSO_3hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,control,6,38,774923,DMSO_6hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,control,12,51,1015616,DMSO_12hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,control,24,59,1355824,DMSO_24hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,control,48,120,2488374,DMSO_48hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,trametinib,3,45,851177,Tram_3hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,trametinib,6,65,1182358,Tram_6hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,trametinib,12,53,1083621,Tram_12hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,trametinib,24,97,1777201,Tram_24hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,trametinib,48,92,1741611,Tram_48hr,True,True,True
RERFLCAD1_LUNG,ACH-000791,lung cancer,untreated,48,75,1598790,Untreated_48hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,control,3,46,2208357,DMSO_3hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,control,6,38,1744697,DMSO_6hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,control,12,52,2524259,DMSO_12hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,control,24,54,3111805,DMSO_24hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,control,48,110,5511454,DMSO_48hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,trametinib,3,40,1924130,Tram_3hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,trametinib,6,42,2185311,Tram_6hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,trametinib,12,56,2459982,Tram_12hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,trametinib,24,79,3855693,Tram_24hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,trametinib,48,94,4701066,Tram_48hr,True,True,True
SH10TC_STOMACH,ACH-000764,gastric cancer,untreated,48,54,2359058,Untreated_48hr,True,True,True
SKMEL2_SKIN,ACH-001190,skin cancer,control,3,80,2252077,DMSO_3hr,True,True,False
